,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Precious Achiuwa,C,23,TOR,20,0,18.2,2.9,7.0,0.407,0.5,2.3,0.2,2.4,4.8,0.505,0.439,1.9,2.4,0.809,1.5,3.8,5.3,1.0,0.5,0.6,1.1,1.6,8.1,2023,20,24,0.455,12.5,112.0,111.7,0.58
1,OG Anunoby,SF,25,TOR,40,40,37.0,6.7,14.4,0.463,2.0,5.4,0.363,4.7,9.0,0.522,0.53,2.7,3.2,0.828,1.6,4.2,5.8,2.2,2.2,0.8,2.3,3.2,17.9,2023,20,24,0.455,12.5,112.0,111.7,0.58
2,Dalano Banton,PG,23,TOR,22,2,10.1,2.0,4.7,0.423,0.6,2.0,0.302,1.4,2.8,0.508,0.486,0.6,0.8,0.824,0.4,1.0,1.5,1.2,0.5,0.5,0.6,1.1,5.2,2023,20,24,0.455,12.5,112.0,111.7,0.58
3,Scottie Barnes,PF,21,TOR,41,40,34.2,6.0,13.2,0.456,0.9,3.0,0.289,5.2,10.3,0.504,0.488,2.5,3.2,0.767,2.2,4.8,7.0,4.7,1.0,0.8,2.1,2.0,15.4,2023,20,24,0.455,12.5,112.0,111.7,0.58
4,Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,2023,20,24,0.455,12.5,112.0,111.7,0.58
5,Chris Boucher,PF,30,TOR,39,0,20.5,3.4,7.1,0.471,0.8,2.6,0.294,2.6,4.5,0.574,0.525,2.1,2.8,0.752,2.0,3.5,5.5,0.5,0.7,0.7,0.5,2.0,9.6,2023,20,24,0.455,12.5,112.0,111.7,0.58
7,Jeff Dowtin,PG,25,TOR,12,0,7.2,1.0,1.9,0.522,0.1,0.3,0.25,0.9,1.6,0.579,0.543,0.3,0.3,1.0,0.4,0.7,1.1,0.9,0.2,0.1,0.2,0.4,2.3,2023,20,24,0.455,12.5,112.0,111.7,0.58
8,Malachi Flynn,PG,24,TOR,32,1,14.8,1.9,5.2,0.376,1.1,2.8,0.385,0.8,2.3,0.365,0.482,0.4,0.5,0.765,0.3,1.3,1.6,1.5,0.3,0.1,0.5,1.5,5.4,2023,20,24,0.455,12.5,112.0,111.7,0.58
10,Juancho Hernangómez,PF,27,TOR,31,10,16.5,1.5,3.2,0.45,0.5,1.8,0.286,0.9,1.4,0.659,0.53,0.3,0.5,0.571,0.7,2.6,3.3,0.6,0.5,0.2,0.4,1.2,3.7,2023,20,24,0.455,12.5,112.0,111.7,0.58
11,Christian Koloko,C,22,TOR,40,19,15.6,1.5,3.0,0.492,0.0,0.2,0.111,1.4,2.7,0.523,0.496,0.9,1.3,0.66,1.7,1.7,3.4,0.5,0.3,1.1,0.5,2.6,3.8,2023,20,24,0.455,12.5,112.0,111.7,0.58
12,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1.0,1.0,1.0,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,5.5,2023,20,24,0.455,12.5,112.0,111.7,0.58
13,Pascal Siakam,C,28,TOR,34,34,37.4,8.8,18.5,0.475,1.4,4.1,0.326,7.4,14.4,0.517,0.511,6.6,8.5,0.781,1.9,6.3,8.2,6.5,0.8,0.6,2.6,3.4,25.6,2023,20,24,0.455,12.5,112.0,111.7,0.58
14,Gary Trent Jr.,SG,24,TOR,37,27,32.4,6.2,14.3,0.436,2.5,7.1,0.36,3.7,7.2,0.509,0.525,3.2,3.9,0.828,0.5,1.9,2.4,1.5,1.7,0.2,1.0,1.7,18.2,2023,20,24,0.455,12.5,112.0,111.7,0.58
15,Fred VanVleet,PG,28,TOR,36,36,36.8,5.8,15.4,0.376,2.8,8.6,0.328,3.0,6.9,0.435,0.467,3.8,4.2,0.888,0.5,3.8,4.3,6.3,1.5,0.6,1.7,2.9,18.2,2023,20,24,0.455,12.5,112.0,111.7,0.58
