,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Precious Achiuwa,C,23,TOR,20,0,18.2,2.9,7.0,.407,0.5,2.3,.200,2.4,4.8,.505,.439,1.9,2.4,.809,1.5,3.8,5.3,1.0,0.5,0.6,1.1,1.6,8.1,2023
1,2,Steven Adams,C,29,MEM,39,39,26.8,3.6,6.1,.594,0.0,0.0,.000,3.6,6.1,.597,.594,1.0,2.8,.342,4.9,6.4,11.3,2.3,0.8,1.2,1.9,2.3,8.3,2023
2,3,Bam Adebayo,C,25,MIA,40,40,35.1,8.6,16.1,.536,0.0,0.3,.100,8.6,15.8,.543,.537,4.2,5.2,.804,2.9,7.3,10.1,3.1,1.1,0.9,2.8,3.0,21.4,2023
3,4,Ochai Agbaji,SG,22,UTA,24,0,12.1,1.5,3.2,.481,0.7,1.8,.381,0.9,1.5,.600,.584,0.3,0.6,.571,0.5,0.9,1.4,0.4,0.1,0.1,0.2,1.1,4.1,2023
4,5,Santi Aldama,PF,22,MEM,40,16,22.7,3.4,7.0,.482,1.3,3.5,.374,2.1,3.5,.589,.575,1.4,2.0,.722,1.2,3.8,5.0,1.3,0.7,0.8,0.7,2.2,9.5,2023
5,6,Nickeil Alexander-Walker,SG,24,UTA,32,3,15.9,2.5,5.2,.488,1.1,2.7,.395,1.5,2.5,.588,.590,0.8,1.1,.686,0.3,1.6,1.8,2.2,0.7,0.4,1.3,1.8,6.9,2023
6,7,Grayson Allen,SG,27,MIL,40,38,27.2,3.4,7.7,.437,1.8,4.7,.392,1.6,3.1,.504,.555,1.8,2.0,.901,0.9,2.7,3.6,2.7,0.8,0.2,1.1,1.5,10.4,2023
7,8,Jarrett Allen,C,24,CLE,38,38,33.1,5.6,8.9,.630,0.0,0.2,.000,5.6,8.7,.644,.630,2.7,3.7,.725,3.1,6.7,9.8,1.7,0.8,1.2,1.4,2.2,13.9,2023
8,9,Jose Alvarado,PG,24,NOP,43,8,21.5,3.3,8.1,.410,1.4,4.1,.337,1.9,4.0,.485,.496,1.1,1.4,.787,0.4,2.0,2.5,3.2,1.3,0.1,1.4,2.0,9.2,2023
9,10,Kyle Anderson,PF,29,MIN,34,19,26.0,2.9,5.9,.490,0.5,1.3,.400,2.4,4.6,.516,.535,1.6,2.1,.786,0.6,3.8,4.4,3.9,1.2,0.8,1.4,2.1,8.0,2023
